| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| Acrylate, 2-ethylhexyl | Vinyl acetate | 7.5 | 0.04 |  |  |  | 570 |
| Acrylate, 2-ethylhexyl | Vinyl chloride | 4.15 | 0.16 |  |  |  | 510 |
| Acrylate, 2-nitrobutyl | Acrylonitrile | 1.76 | 0.69 | 0.67 | 0.25 | N | 234 |
| Acrylate, 2-nitrobutyl | Methacrylate, methyl | 0.27 | 0.04 | 1.19 | 0.12 | N | 234 |
| Acrylate, 2-nitrobutyl | Styrene | 0.12 | 0.01 | 0.35 | 0.03 | N | 234 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Maleimide, N-phenyl- | Styrene |  |  |  |  | N | 1026 |
| Maleimide, N-phenyl- | Styrene | 0.044 | 0.017 | 0.016 | 0.004 | Y | 328, 992 |
| Maleimido-N,N-dimethylaniline,4-(2-chlorophenyl)azo | Styrene | 0.04 |  | 0.05 |  |  | 747 |
| Mesaconate, di-sec-butyldithiol | Styrene | 0.02 |  | 0.45 |  |  | 624 |
| Mesaconate, dibenzyldithiol | Styrene | 0.06 |  | 0.28 |  |  | 624 |
| Mesaconate, dibutyldithiol | Styrene | 0.05 |  | 0.41 |  |  | 624 |
| Mesaconate, diethyldithiol | Styrene | 0.03 |  | 0.4 |  |  | 624 |
| Mesaconate, diisobutyldithiol | Styrene | 0.03 |  | 0.41 |  |  | 624 |
| Mesaconate, diisopropyldithiol | Styrene | 0.05 |  | 0.44 |  |  | 624 |
| Mesaconate, dimethyldithiol | Styrene | 0.07 |  | 0.35 |  |  | 624 |
| Mesaconate, diphenyldithiol | Styrene | 0.15 |  | 0.16 |  |  | 624 |
| Mesaconate, dipropyldithiol | Styrene | 0.06 |  | 0.39 |  |  | 624 |
| Methacryl-2'-ethyl-4,5,7-trinitro-9-fluorenone-2-carboxylate | Methacrylate, N-(2-hydroxyethyl)carbazolyl | 0.382 | 0.014 | 0.63 | 0.041 | Y | 703 |
| Methacrylamide, 1-deoxy-D-glucitol | Vinyl acetate | 0.56 |  | 0.16 |  |  | 258 |
| Methacrylamide, N-(4'-nitro-4-stilbenyl)- | Methacrylate, 2-hydroxyethyl | 0.593 | 0.047 | 1.474 | 0.05 | Y | 342 |
| Methacrylamide, N-(p-nitrophenyl)- | Acrylonitrile | 2.34 | 1.07 | 0.37 | 0.14 | Y | 352 |
| Monomer 1 | Monomer 2 | rx | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Methacrylamide, 1-deoxy-D-glucitol | Methacrylate, methyl | 0.04 |  | 4.2 |  |  | 258 |
| Methacrylamide, 1-deoxy-D-glucitol | Styrene | 0.005 |  | 2.09 |  |  | 258 |
| Methacrylamide, N-p-nitrophenyl- | Methacrylate, methyl | 0.29 | 0.2 | 5.05 | 0.2 |  | 968 |
| Methacrylate, ferrocenylmethyl | Maleic anhydride | 0.33 | 0.65 | 0.24 | 0.28 | Y | 325 |
| Methacrylate, ferrocenylmethyl | Pyrrolidone, N-vinyl- | 2.57 | 2.77 | 0.073 | 0.096 | Y | 325 |
| Methacrylate, potassium 18-crown-6-ether | Acrylonitrile | 0.175 | 0.018 | 0.07 | 0.006 | Y | 808 |
| Methacrylate, 2,4,6-trinitrophenyl | Methacrylate, 2-naphthyl |  |  |  |  | Y | 744 |
| Methacrylate, 2,4-dinitrophenyl ethyl | Acrylate, N-(2-hydroxyethyl)-oxy)3,6-dichloro | 1.207 | 0.032 | 0.115 | 0.029 | Y | 736 |
| Methacrylate, 2,4-dinitrophenyl | Methyacrylate, N-(2-hydroxyethyl)-3,6-dichloro | 1.112 | 0.026 | 0.126 | 0.026 | Y |  |
| Methacrylate, 2-acetylsalicylicoyloxy-3-hydroxypropyl | N-Vinylpyrrolidone | 0.85 |  | 0.34 |  |  | 1080 |
| Methacrylate, 2-chloro-2,3,3,3-fluoropropyl | Acrylate, butyl | 0.221 | 0.636 | 0.079 | 0.304 | N | 927 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| propyl |  |  |  |  |  |  |  |
| propyl |  |  |  |  |  |  |  |
|  | phenyl)-2-(4-methoxy) |  |  |  |  |  |  |
| Methacrylate, 2-hydroxyethyl | Acetanilide, 4-(2-(methacryloyloxy)- | 1.39 |  | 0.67 |  |  | 1096 |
|  | ethyloxy) |  |  |  |  |  |  |
| Methacrylate, 2-hydroxyethyl | Acetanilide, 4-(2-(methacryloyloxy)- | 1.19 |  | 0.87 |  |  | 1096 |
|  | hexyloxy) |  |  |  |  |  |  |
| Methacrylate, 2-hydroxyethyl | Acetanilide, 4-(methacryloyloxy)- | 0.78 |  | 1.94 |  |  | 1096 |
| Methacrylate, 2-hydroxyethyl Methacrylate, 2-hydroxyethyl | Acrylamide Acrylamide | 1.89 0.98 |  | 0.05 0.14 |  |  | 689 928 |
| Methacrylate, 2-hydroxyethyl | Methacrylamide, N-(4'-nitro-4-stilbenyl)- | 1.474 | 0.05 | 0.593 | 0.047 | Y | 342 |
| Methacrylate, 2-hydroxyethyl | Methacrylamide, N-[4-(4-methoxy- | 1.47 |  | 0.29 |  |  | 1051 |
|  | phenylacetyloxy)phenyl]- |  |  |  |  |  |  |
| Methacrylate, 2-hydroxyethyl | Methacryloxymethylpentamethyl | 0.97 |  | 0.33 |  |  | 822 |
|  | disiloxane |  |  |  |  |  |  |
|  | sulfonic |  |  |  |  |  |  |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Methacrylate, 2-hydroxypropyl | Acryloyl chloride | 1.79 | 0.29 |  |  |  | 649 |
| Methacrylate, 2-hydroxypropyl | Methacrylate, 2-hydroxyethyl | 1.82 | 0.55 |  |  |  | 686 |
| Methacrylate, 2-hydroxypropyl | Methacrylic acid | 0.31 | 0.99 |  |  |  | 886 |
| Methacrylate, 2-naphthyl | Methacrylate, 2,4,6-trinitrophenyl | 0.85 | 0.34 | 0.75 | 0.16 | Y | 744 |
| Methacrylate, 2-sulfonic acid, ethyl | Acrylate, ethyl | 3.2 | 0.3 |  |  |  | 564 |
| Methacrylate, 2-sulfonic acid, ethyl | Methacrylate, ethyl | 2 | 1 |  |  |  | 564 |
| Methacrylate, 2-sulfonic acid, ethyl | Styrene | 0.6 | 0.37 |  |  |  | 564 |
| Methacrylate, 2-sulfonic acid, ethyl | Vinylidene chloride | 3.6 | 0.22 |  |  |  | 564 |
| Methacrylate, 2-methoxyethyl | Styrene | 0.48 | 0.46 |  |  |  | 918 |
| Methacrylate, 3-methoxy-2-hydroxypropyl | Acrylamide | 3.98 | 0.04 |  |  |  | 689 |
| Methacrylate, p-(2-benzothiazolylthio) | Vinyl chloride | 0.26 | 0.64 |  |  |  | 741 |
| Methacrylate, N-(2-hydroxyethyl)- | Methacrylate, 2,4-dinitrophenyl | 0.126 | 0.026 | 1.112 | 0.026 | Y | 736 |
| Methacrylate, N-(2-hydroxyethyl)- | Acryl-2-ethyl-4,5,7-trinitrofluorenone | 0.773 | 0.096 | 0.102 | 0.022 | Y | 703 |
| Methacrylate, N-(2-hydroxyethyl)- | Acrylate, 2,4-dinitrophenyl | 0.243 | 0.034 | 0.186 | 0.009 | Y | 716 |
| Methacrylate, N-(2-hydroxyethyl)- | 2'-ethyl-4,5,7-trinitro-9-fluorenone | 0.63 | 0.041 | 0.382 | 0.014 | Y | 703 |
| Methacrylate, N-o-benzothiazolonylmethyl | Methacrylate, methyl | 0.6 | 0.02 | 0.5 | 0.01 |  | 887 |
| Methacrylate, N-ethyl- | Acryloyl-p-hydroxyethyl-3,5-dinitrobenzoate | 1.425 | 0.09 | 0.103 | 0.015 | Y | 701 |
| Methacrylate, N-ethyl-3-hydroxymethylcarbazolyl | Methacryloyl-p-hydroxyethyl-3,5-dinitrobenzoate | 0.729 | 0.051 | 0.554 | 0.019 | Y | 701 |
| Methacrylate, N-methyl-N-phenyl- | Acryloyloxy, 2-, benzoic acid | 0.22 | 0.03 | 1.82 | 0.2 | N | 651 |
| Methacrylate, N-methyl-N-phenyl- | Methacryloyloxy, 2-, benzoate, methyl | 0.55 | 0.04 | 1.11 | 0.18 | N | 651 |
| Monomer 1 | Monomer 2 | rx | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Methacrylate, N-methyl-Ar-phenyl- | Methacryloyloxy, 2-,benzoic acid | 0.2 | 0.01 | 2.6 | 0.08 | N | 651 |
| 2-aminoethyl |  |  |  |  |  |  |  |
| Methacrylate, A^-methyl-A^-phenyl- 2-aminoethyl | Styrene | 0.58 | 0.02 | 0.44 | 0.04 | N | 651 |
| Methacrylate, a,a-dimethylbenzyl | Methacrylate, methyl | 0.92 |  | 0.81 |  |  | 761 |
| Methacrylate, oc-naphthoyloxy-, ethyl | Styrene | 0.242 | 0.018 | 0.216 | 0.043 |  | 1102 |
| Methacrylate, allyl | Itaconate, bis(tri-w-butyltin) | 1.08 |  | 0.038 |  |  | 940 |
| Methacrylate, benzyl | Maleic anhydride |  |  |  |  | Y | 720 |
| Methacrylate, benzyl | Maleic anhydride | - 0.075 | 0.088 | 0.372 | 0.093 | Y | 720 |
| Methacrylate, benzyl Methacrylate, benzyl | Styrene Styrene | 0.51 0.42 |  | 0.45 0.48 |  |  | 487 540 |
| Methacrylate, benzylmethylaminoethyl Methacrylate, butyl | Methacrylate, methyl Acetylene, phenyl- | 0.296 1.7 | 0.123 | 0.523 0.21 | 0.134 | Y | 1081 565 |
| Methacrylate, butyl Methacrylate, butyl | Acrylic acid Acrylic acid, a-bromo- | 3.53 0.85 | 0.42 | 0.24 0.13 | 0.21 | N | 187 733 |
| Methacrylate, butyl | Carbamate, Af-phenyl-, allyl | 0.418 |  | 0.329 |  |  | 833 |
|  | benzoyloxy)ethyl |  |  |  |  |  |  |
|  | benzoyloxy)ethyl |  |  |  |  |  |  |
| Methacrylate, butyl | Methacrylate, ethyleneglycol- Af-phenylcarbamate | 0.395 |  | 0.299 |  |  | 833 |
| Methacrylate, butyl | Styrene, p-chloro- |  | 0.1 |  | 0.1 | N | 872 |
| Methacrylate, butyl | Styrene/?-octylamine sulfonate | 0.7 |  | 1.5 |  |  | 817 |
| Methacrylate, butyl | Thioindigoid | 11.5 |  | 0.5 |  |  | 1007 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Methacrylate, di-, zinc | Ethylene | 40 |  | 0.19 |  |  | 935 |
| Methacrylate, di-, dicyclopentadienyl-titanate | Acrylate, di-, copper | 0.89 |  | 1.09 |  |  | 876 |
| Methacrylate, di-, dicyclopentadienyl-titanate | Acrylate, di-, nickel | 0.65 |  | 0.95 |  |  | 876 |
| Methacrylate, di-, triethyleneglycol | Methacrylate, ethylene-glycol | 0.59 |  | 0.24 |  |  | 833 |
| Methacrylate, diethylaminoethyl | N-phenylcarbamate | 1.44 | 0.085 | 0.843 | 0.128 | Y | 1081 |
| Methacrylate, ethyl | Methacrylate, methyl |  |  |  |  | N | 32 |
| Methacrylate, ferrocenylmethyl | Acrylate, methyl | 0.042 | 0.085 | 1.4 | 0.35 | Y | 293 |
| Methacrylate, ferrocenylmethyl | Acrylonitrile | 0.82 | 0.42 | 0.15 | 0.04 | Y | 325 |
| Methacrylate, ferrocenylmethyl | Styrene | -0.01 | 0.14 |  | 3.63 | Y | 293 |
| Methacrylate, ferrocenylmethyl | Styrene | 0.01 |  | 3.6 |  |  | 576 |
| Methacrylate, ferrocenylmethyl | Vinyl acetate | 1.52 |  | 0.2 |  |  | 293 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Methacrylate, glycidyl | Vinyl, mono-, ethylene glycol ether | 4.41 |  | 0 |  |  | 780 |
|  | ethylenediamine |  |  |  |  |  |  |
| Methacrylate, isobutyl | Styrene | 0.58 |  | 0.56 |  |  |  |
| Methacrylate, m-nitrophenyl | Styrene | 0.185 | 0.054 | 0.44 | 0.16 | Y | 177 |
| Methacrylate, methyl | 3-Pyridazone, 2-vinyl | 0.63 |  | 1.56 |  |  | 897 |
|  | 4,5-benz-3- |  |  |  |  |  |  |
| Methacrylate, methyl | 4H-1,3-Oxazinium F3CSO3, 3-methyl- | 0.37 |  | 0.31 |  |  | 909 |
|  | 2-vinyl-5,6-dihydro- |  |  |  |  |  |  |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Methacrylate, methyl | Acrylamido, 1-deoxy-D-glucitol | 3.75 | 0.24 | 0.05 | 0.09 | N | 258 |
| Methacrylate, methyl | Acrylate, ferrocenylmethyl | 2.9 |  | 0.08 |  |  | 293 |
| Methacrylate, methyl | Acrylate, 2-(O-ethyl methyl-phosphonoxy)-, methyl | 0.73 | 0.04 | 0.44 | 0.25 |  | 882 |
| Methacrylate, methyl | Acrylate, 2-nitrobutyl | 1.19 | 0.12 | 0.27 | 0.04 | N | 234 |
| Methacrylate, methyl | Acrylate, a-[2,2-bis(carbomethoxy)-ethyl]-, methyl | 3.7 |  | 0.04 |  |  | 1092 |
| Methacrylate, methyl | Acrylate, a-tetrafluoropropyloxymethyl-, methyl | 1.43 |  | 0.61 |  |  | 1047 |
| Methacrylate, methyl | Acrylate, ferrocenylmethyl | 2.8 | 0.19 | 0.024 | 0.064 | Y | 293 |
| Methacrylate, methyl | Acrylate, m-nitrophenyl | 0.928 | 0.248 | 1.04 | 0.135 | Y | 1074 |
| Methacrylate, methyl | Acrylate, a-p-chlorobenzyl-, methyl | 1.87 | 0.222 | 0.255 | 0.034 | Y | 905 |
| Methacrylate, methyl | Acrylate, a-p-methoxybenzyl-, methyl | 1.71 | 0.109 | 0.13 | 0.008 | Y | 905 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Methacrylate, methyl | Acrylonitrile, a-perfluoropropyl- | 1.9 | 0.3 | 0 | 0.05 |  | 926 |
| Methacrylate, methyl | Allyl chloride |  |  |  |  | Y | 204 |
| Methacrylate, methyl | Benzocyclobutane, a-methylene- | 0.32 |  | 0.46 |  |  | 1083 |
| Methacrylate, methyl | Benzophenone, 2-hydroxy- | 0.315 | 0.036 | 1.65 | 0.114 | Y | 934 |
|  | 4-(methacryloxy)- |  |  |  |  |  |  |
|  | 5,6-dicarboximide, N-benzyl |  |  |  |  |  |  |
|  | 5,6-dicarboximide, N-benzyl |  |  |  |  |  |  |
| Methacrylate, methyl | Citraconimide, N-(4-ethoxycarbonyl- | 2.72 | 0.18 | -0.027 | 0.084 | Y | 728 |
|  | phenyl)- |  |  |  |  |  |  |
|  | N-(1-menthylcarboxylatomethyl)- |  |  |  |  |  |  |
| Methacrylate, methyl | Citraconimide, N-propyl | 3.23 | 0.98 | -0.03 | 0.43 | Y | 714 |
|  | Citraconimide, N-tert-butyl- | 2.88 | 0.19 | 0.038 | 0.072 | Y | 714 |
|  | Methacrylate, methyl |  |  |  |  |  |  |
|  | Citraconimide, N-tolyl- | 2.75 | 0.19 | 0.003 | 0.088 | Y | 728 |
|  | carbonyl)-2-vinyl- |  |  |  |  |  |  |
|  | carbonyl)-2-vinyl- |  |  |  |  |  |  |
| Methacrylate, methyl | Diallyl melamine |  |  |  |  | Y | 201 |
| Methacrylate, methyl | Dimethyleneheptanedioate, | 2.36 | 0.25 | 0.53 | 0.02 | N | 795 |
|  | 2,6-dimethyl |  |  |  |  |  |  |
| Methacrylate, methyl | Ethylene |  |  |  |  | N | 41 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Methacrylate, methyl | Ethylene, tetrachloro- |  |  |  |  | Y | 204 |
| Methacrylate, methyl | Isoprene, 3-acetoxy- | 0.16 |  | 2.81 |  |  | 770 |
| Methacrylate, methyl | Isopropenyl, 3-(1-cyclohexenyl), acetate | 0.81 |  | 0.4 |  |  | 770 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Acrylate, N-(2-hydroxyethyl)- | Methacrylate, 2,4-dinitrophenyl | 0.115 | 0.029 | 1.207 | 0.032 | Y | 736 |
| 3,6-dichlorocarbazolyl |  |  |  |  |  |  |  |
| Acrylate, N-(2-hydroxyethyl)carbazolyl | Acryl-2'-ethyl-4,5,7-trinitro-9-fluorene | 0.912 | 0.079 | 0.585 | 0.028 | Y | 715 |
| Acrylate, N-(2-hydroxyethyl)carbazolyl | Acrylate, 2,4-dinitrophenyl | 0.109 | 0.026 | 0.158 | 0.015 | Y | 716 |
| 3,5-dinitrobenzoate |  |  |  |  |  |  |  |
| 3,5-dinitrobenzoate |  |  |  |  |  |  |  |
| 3,5-dinitrobenzoate |  |  |  |  |  |  |  |
| Acrylate, α-((9-ethyl methylphosphonoxy)- | Methacrylate, methyl | 0.44 |  | 0.73 |  |  | 851 |
| methyl |  |  |  |  |  |  |  |
| methyl |  |  |  |  |  |  |  |
| Acrylate, α-chloro-, sodium | Styrenesulfonate, p-, sodium | 0.27 | 0.06 | 1.44 | 0.31 | Y | 834 |
| methyl |  |  |  |  |  |  |  |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Methacrylate, methyl | Maleimide, N-(4-carboxyethylphenyl)-a-chloro- | 0.472 | 0.114 | -0.004 | 0.168 | Y | 973 |
| Methacrylate, methyl | Maleimide, N-(4-methoxyphenyl)-a-chloro- | 0.556 | 0.145 | 0.064 | 0.189 | Y | 973 |
| Methacrylate, methyl | Maleimide, N-(β-chloroethyl)-a-chloro- | 0.94 | 0.06 | 0.05 | 0.04 |  | 974 |
| Methacrylate, methyl | Maleimide, N-(β-chloroethyl)-a-chloro- | 0.59 | 0.291 | 0.11 | 0.05 | Y | 974 |
| Methacrylate, methyl | Maleimide, N-[N'-(α-methylbenzyl)aminocarbonylpentyl]- | 1.37 | 0.291 | 0.582 | 0.359 | Y | 1009 |
| Methacrylate, methyl | Methacrylamide, 1-deoxy-D-glucitol | 4.2 |  | 0.04 |  |  | 258 |
| Methacrylate, methyl | Methacrylamide, N-p-nitrophenyl- | 5.05 | 0.2 | 0.29 | 0.2 |  | 968 |
| Methacrylate, methyl | Methacrylate, (2,2-dimethyl-1,3-dioxolane) | 0.9 |  | 1.1 |  |  | 807 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Methacrylate, methyl | Methacrylate, 2-chloro-2,3,3,3-fluoropropyl | 0.984 | 0.395 | 0.583 | 1.17 | N | 927 |
| Methacrylate, methyl | Methacrylate, N-α-benzothiazolonyl-methyl | 0.5 | 0.01 | 0.6 | 0.02 |  | 887 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Methacrylate, methyl | Methacrylophenone, α- | 1.79 | 0.07 | 0.11 | 0.02 | N | 798 |
| Methacrylate, methyl | Methacrylophenone, α- | 1.74 | 0.22 | 0.119 | 0.009 | Y | 798 |
| Methacrylate, methyl | Oxazoline, 2-,4-acryloxymethyl | 0.41 |  | 0.11 |  |  | 596 |
|  | 2,4-dimethyl |  |  |  |  |  |  |
| Methacrylate, methyl | Oxazoline, 2-,4-methacryloxy- | 1.17 |  | 0.19 |  |  | 596 |
|  | 2,4-dimethyl |  |  |  |  |  |  |
| Methacrylate, methyl | Pentenoate, 3-oxo-4-, ethyl | 0.555 | 0.032 | 3.39 | 0.263 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 3-oxo-4-, ethyl | 0.424 | 0.022 | 2.02 | 0.141 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 3-oxo-4-, ethyl | 0.591 | 0.046 | 3.06 | 0.349 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 3-oxo-4-, ethyl | 0.443 | 0.032 | 1.67 | 0.183 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 3-oxo-4-, ethyl | 0.34 | 0.031 | 1.24 | 0.168 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 3-oxo-4-, ethyl | 0.57 | 0.023 | 1.72 | 0.123 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 3-oxo-4-, ethyl | 0.606 | 0.045 | 1.69 | 0.236 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 3-oxo-4-, ethyl | 0.269 | 0.027 | 0.72 | 0.12 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 3-oxo-4-, ethyl | 0.715 | 0.048 | 1.55 | 0.224 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 3-oxo-4-, ethyl | 0.528 | 0.02 | 1.09 | 0.09 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 4-methyl-3-oxo-4-, ethyl | 0.597 | 0.03 | 2.56 | 0.218 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 4-methyl-3-oxo-4-, ethyl | 0.38 | 0.034 | 0.748 | 0.155 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 4-methyl-3-oxo-4-, ethyl | 0.513 | 0.022 | 1.14 | 0.109 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 4-methyl-3-oxo-4-, ethyl | 0.43 | 0.034 | 0.952 | 0.164 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 4-methyl-3-oxo-4-, ethyl | 0.474 | 0.023 | 1.67 | 0.143 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 4-methyl-3-oxo-4-, ethyl | 0.581 | 0.025 | 1.04 | 0.111 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 4-methyl-3-oxo-4-, ethyl | 0.616 | 0.024 | 1.05 | 0.108 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 4-methyl-3-oxo-4-, ethyl | 0.663 | 0.023 | 0.725 | 0.08 | N | 1033 |
| Methacrylate, methyl | Pentenoate, 4-methyl-3-oxo-4-, ethyl | 0.528 | 0.02 | 1.09 | 0.09 | N | 1033 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Methacrylate, methyl | Phosphate, 2-(acryloyloxy)ethyl diethylPhosphonate, α-bromovinyl-,diethyl | 2.041.25 | 0.0120.04 | 0.0701 | 0.052 | N | 971684 |
| Methacrylate, methyl | Phosphonate, α-carboethoxyvinyl-,diethyl | 1 |  | 0.05 |  |  | 684 |
|  | diethyl |  |  |  |  |  |  |
| Methacrylate, methyl | Phosphonate, α-carbomethoxyvinyl-,diethyl | 4.7 |  | 0.01 |  |  | 684 |
|  | diethyl |  |  |  |  |  |  |
| Methacrylate, methyl | Phosphonate, vinyl-, diethyl | 11.1 | 0.04 |  |  |  | 684 |
| Methacrylate, methyl | Pinene, α- | 10 |  | 0.08 |  |  | 48 |
| Methacrylate, methyl | Propenyl, 2-chloro-, acetate | 1 |  | 0 |  |  | 445 |
| Methacrylate, methyl | Propenyl, 2-methyl, acetate | 10 |  | 0 |  |  | 470 |
| Methacrylate, methyl | Pyridazinone, 3-(2-vinyl)-6-methyl-4,5- | 1.19 | 0.04 | 0.08 | 0.03 | N | 340 |
| Methacrylate, methyl | Pyridazinone 3-(2-vinyl)-6-methyl- | 0.86 | 0.02 | 0.56 | 0.04 | N | 340 |
| Methacrylate, methyl | Pyrrolidone, 1-benzyl-3-methylene-5-methyl | 0.387 | 0.07 | 2.28 | 0.47 | Y | 33 |
| Methacrylate, methyl | Pyrrolidone, N-vinyl- |  |  |  |  | Y | 213 |
| Monomer 1 Monomer 2 Conv. | r | ±95% | r2 | ±95% |  | Refs. |
| --- | --- | --- | --- | --- | --- | --- |
| Methacrylate, methyl Styrene | 0.409 | 0.02 | 0.485 | 0.052 | Y | 751 |
| Methacrylate, methyl Styrene | 0.504 | 0.026 | 0.48 | 0.059 | Y | 751 |
| Methacrylate, methyl Styrene | 0.611 | 0.028 | 0.371 | 0.055 | Y | 751 |
| Methacrylate, methyl Styrene | 0.59 |  | 0.62 |  |  | 753 |
| Methacrylate, methyl Styrene | 0.6 |  | 0.52 |  |  | 753 |
| Methacrylate, methyl Styrene | 0.63 |  | 0.5 |  |  | 753 |
| Methacrylate, methyl Styrene | 0.58 |  | 0.55 |  |  | 753 |
| Methacrylate, methyl Styrene | 0.64 |  | 0.55 |  |  | 753 |
| Methacrylate, methyl Styrene | 0.41 |  | 0.41 |  |  | 753 |
| Methacrylate, methyl Styrene | 0.454 |  | 0.472 |  |  | 824 |
| Methacrylate, methyl Styrene | 0.464 |  | 0.497 |  |  | 824 |
| Methacrylate, methyl Styrene | 0.422 |  | 0.432 |  |  | 824 |
| Methacrylate, methyl Styrene | 0.41 |  | 0.57 |  |  | 835 |
| Methacrylate, methyl Styrene | 0.314 |  | 0.275 |  |  | 860 |
| Styrene, 2,4,6-trimethyl- Methacrylate, methyl | 1.511 | 0.072 | 0.083 | 0.045 | Y | 58 |
| Methacrylate, methyl Styrene, 2,4,6-trimethyl- | 1.45 | 0.16 | -0.01 | 0.11 | Y | 58 |
| Methacrylate, methyl Styrene, 2,5-dichloro- | 0.44 | 0.13 | 2.66 | 0.38 | Y | 3 |
| Methacrylate, methyl Styrene, 2,6-dichloro- | 1.98 | 0.16 | -0.15 | 0.27 | N | 324 |
| Methacrylate, methyl Styrene, 3-methyl | 0.48 | 0.04 | 0.53 | 0.04 |  | 1087 |
| Methacrylate, methyl Styrene, 3-methyl | 0.38 | 0.03 | 0.36 | 0.06 |  | 1087 |
| Methacrylate, methyl Styrene, 3-methyl | 0.41 | 0.04 | 0.51 | 0.05 |  | 1087 |
| Methacrylate, methyl Styrene, 3-tri-rc-butylstannyl- | 0.69 |  | 0.03 |  |  | 985 |
| Methacrylate, methyl Styrene, 4-methyl- | 0.345 | 0.008 | 0.46 | 0.022 | Y | 929 |
| Methacrylate, methyl Styrene, a-methoxy- | 2.5 | 0.39 | - 0.02 | 0.04 | N | 142 |
| Styrene, a-methyl- Methacrylate, methyl Methacrylate, methyl Styrene, a-methyl- | 0.48 0.55 | 0.02 | 0.27 0.51 | 0.07 | N | 265 265 |
| Methacrylate, methyl Styrene, a-methyl- | 0.55 |  | 0.6 |  |  | 265 |
| Styrene, a-methyl- Methacrylate, methyl | 0.5 |  | 0.14 |  |  | 532 |
| Methacrylate, methyl Styrene, a-methyl- | 0.42 |  | 0.22 |  |  | 835 |
| Methacrylate, methyl Styrene, a-methyl- | 0.47 |  | 0.48 |  |  | 899 |
| Methacrylate, methyl Styrene, m-bromo- | 0.48 |  | 1.17 |  |  | 256 |
| Methacrylate, methyl Styrene, m-chloro- |  |  |  |  | Y | 150 |
| Methacrylate, methyl Styrene, m-methyl- | 0.512 | 0.036 | 0.486 | 0.02 | Y | 256 |
| Methacrylate, methyl Styrene, m-nitro- | 0.35 | 0.11 | 0.8 | 0.32 | Y | 222 |
| Methacrylate, methyl Styrene, /?-chloro- | 0.5 |  | 1.37 |  |  | 532 |
| Methacrylate, methyl Styrene, o-chloro- | 0.46 |  | 1.34 |  |  | 558 |
